Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BMRN,CA,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTRP,CTSH,CTXS,DISCA,DISCK,DISH,DLTR,EA,EBAY,ENDP,ESRX,EXPE,FAST,FB,FISV,FOX,FOXA,GILD,GOOG,GOOGL,HSIC,ILMN,INCY,INTC,INTU,ISRG,JD,KHC,LBTYA,LBTYK,LLTC,LRCX,LVNTA,MAR,MAT,MDLZ,MNST,MSFT,MU,MXIM,MYL,NCLH,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PCLN,PYPL,QCOM,QVCA,REGN,ROST,SBAC,SBUX,SIRI,SRCL,STX,SWKS,SYMC,TMUS,TRIP,TSCO,TSLA,TXN,ULTA,VIAB,VOD,VRSK,VRTX,WBA,WDC,WFM,XLNX,XRAY,YHOO
2014-01-16,28.781853,75.377065,61.630001,46.405611,65.974507,53.599998,48.740002,139.809998,16.774899,112.936099,395.799988,16.853882,53.574575,66.953933,173.0,294.0,72.660004,31.267675,83.800003,55.389999,64.970001,134.960007,51.298888,108.820712,21.032204,25.717164,20.575001,50.150002,61.349998,41.911091,37.66,55.360001,54.610001,21.540001,22.617845,70.379997,72.900002,67.099433,43.789294,57.189999,57.389999,31.105033,31.74683,76.184018,577.533436,578.688667,115.779999,125.260002,63.48,24.543136,74.694417,414.390015,,,45.304039,41.990002,43.321726,53.331584,29.599511,48.943157,38.955922,34.288823,69.540001,34.464924,23.129999,26.181733,45.41,36.91,47.382858,40.990042,75.647156,15.42384,46.0,133.720001,40.387406,54.550445,1184.650024,,69.593875,23.857871,290.480011,35.158305,90.720001,36.368673,3.67,118.400002,53.74362,27.927203,17.414216,32.599998,84.760002,72.640376,170.970001,40.580106,82.75,79.630999,34.577816,64.120003,81.0,57.213161,83.409862,50.954081,44.429587,47.6172,40.34
2014-01-17,29.448917,73.530205,61.369999,45.995768,66.106776,53.240002,48.580002,139.710007,16.698779,113.049958,399.609985,16.494046,54.260808,65.857147,170.139999,297.480011,73.449997,31.616625,83.519997,55.740002,64.510002,134.289993,51.298888,109.508143,20.995272,25.707723,20.285,49.669998,60.439999,41.343899,37.264999,54.849998,54.32,24.1,22.390573,70.029999,73.620003,69.264878,44.671275,56.299999,57.25,30.753121,31.326406,76.673004,574.691299,575.840828,116.160004,136.339996,61.869999,23.905051,74.888956,430.140015,,,44.86459,41.490002,43.050321,52.680723,29.76167,48.991548,38.648492,33.85661,69.120003,33.988452,22.379999,26.218466,45.75,36.540001,47.148571,42.136024,75.202283,15.356614,46.720001,135.479996,40.525245,54.808235,1178.040039,,69.603191,23.77327,292.0,34.821744,90.010002,36.180284,3.72,120.089996,54.22205,29.790968,17.54997,32.509998,83.900002,72.503522,170.009995,40.654961,83.559998,77.887254,34.934015,63.450001,82.089996,56.51579,83.287962,50.557815,44.391985,47.261998,40.009998
2014-01-21,30.076742,74.672588,60.849998,46.554646,66.396103,53.299999,48.950001,142.580002,16.75587,113.144837,407.049988,16.328719,54.231813,65.857147,172.699997,310.5,73.980003,31.460514,84.275002,55.900002,64.510002,133.5,51.078515,108.227456,21.078367,25.528346,20.965,49.459999,61.490002,41.18549,37.064999,54.099998,53.549999,24.32,22.790405,68.830002,74.599998,66.305758,44.530533,58.509998,57.119999,30.538065,31.209078,79.782955,581.269747,582.432442,117.07,141.199997,64.550003,23.664613,74.101063,439.380005,,,44.48135,41.095001,43.321726,52.894439,29.115482,49.156081,38.121468,33.088234,69.779999,33.792254,23.120001,26.356218,46.450001,36.220001,46.958572,42.514857,76.413855,15.414236,46.66,135.990005,40.231185,54.642511,1205.949951,,70.283106,23.67174,295.700012,34.348609,90.650002,35.576474,3.71,119.620003,54.25749,30.464264,17.572595,33.169998,81.5,71.271838,176.679993,41.029228,80.93,77.390382,34.907299,64.019997,85.480003,56.105009,83.325471,50.499823,44.69282,47.380398,39.52
2014-01-22,30.60647,75.004424,61.77,46.917917,66.445698,52.369999,49.18,140.75,16.803445,118.002714,404.540009,16.280091,55.237002,64.939827,174.429993,310.540009,73.269997,31.497247,84.989998,57.02,64.82,135.0,51.490517,107.116271,21.0876,25.698282,21.530001,50.27,61.200001,41.124169,37.150002,56.630001,53.139999,24.17,22.899831,67.489998,74.690002,65.708055,44.905844,57.509998,58.389999,30.65537,31.355737,80.369737,581.929085,583.093086,117.860001,144.729996,64.860001,23.405679,73.507709,439.119995,,,44.557999,41.040001,43.602489,53.797871,29.366092,49.523853,38.393762,33.088234,69.910004,33.568033,23.65,26.512335,45.91,36.700001,47.675713,43.045229,76.896583,15.39503,47.849998,136.020004,40.166859,54.30186,1213.290039,,70.581152,23.824031,295.380005,33.7828,91.470001,35.552321,3.74,119.589996,54.044853,30.825309,17.813937,33.439999,82.470001,71.516221,178.559998,41.740341,83.059998,79.049748,34.898391,63.970001,84.120003,56.276964,82.594054,50.113221,45.708137,47.143593,40.18
2014-01-23,30.753616,75.639538,60.880001,46.023711,65.561186,51.860001,49.610001,137.940002,16.679751,117.272131,399.869995,16.212015,54.17382,65.478251,163.580002,314.959991,73.75,30.900362,84.275002,56.490002,65.330002,133.460007,50.858143,106.221677,20.829082,25.509464,20.584999,49.275002,59.669998,40.919781,36.990002,55.310001,52.560001,23.870001,23.122894,66.349998,74.43,65.159347,44.605596,56.630001,57.75,30.332784,31.033087,80.340399,579.471546,580.630623,116.849998,144.100006,65.599998,23.239222,73.264531,439.0,,,43.704651,40.375,42.853788,52.496152,29.031942,48.952837,37.734981,33.088234,69.040001,33.689488,23.639999,26.521516,45.259998,36.040001,55.531429,43.424063,73.706761,15.337406,47.849998,134.350006,39.780906,53.629762,1208.859985,,70.664981,23.86633,291.589996,33.407217,92.779999,35.450881,3.72,118.120003,53.8145,30.669182,17.813937,32.740002,81.339996,70.255204,181.5,41.253791,84.620003,78.299748,34.809339,64.160004,83.830002,55.741992,81.628207,49.774946,45.153472,46.403583,39.389999
2014-01-24,29.821688,74.264598,59.09,44.943211,63.626843,50.439999,48.34,133.639999,16.337211,113.18279,387.600006,16.212015,52.666041,64.401403,161.369995,303.600006,70.849998,29.991256,80.610001,54.709999,64.690002,131.419998,50.206607,105.590744,20.496704,24.735306,19.805,48.639999,58.900002,40.362801,36.794998,54.599998,51.669998,23.84,22.882995,65.75,73.32,64.963382,42.306822,54.450001,56.400002,30.000424,30.573555,78.844103,561.35459,562.477485,114.959999,138.619995,63.939999,22.943299,71.241292,410.76001,,,42.54982,39.400002,41.945987,49.805287,28.749391,48.159213,37.770117,32.319858,67.550003,34.390185,22.92,26.815385,44.310001,35.259998,55.154285,41.634064,70.47907,14.943647,45.580002,132.559998,38.66899,51.779191,1179.930054,,68.997783,23.291032,279.609985,33.085292,89.949997,36.218929,3.64,116.360001,51.891919,30.025159,17.572595,31.68,80.360001,68.603173,174.600006,40.187125,83.970001,76.321636,33.874326,63.57,79.769997,54.672052,79.705886,49.881262,44.053545,45.229435,37.91
2014-01-27,29.605874,74.867072,58.360001,44.915268,63.238319,50.59,47.84,129.820007,15.909036,112.452207,386.279999,16.212015,52.627379,64.132195,158.679993,297.880005,69.010002,29.605578,78.135002,54.139999,63.540001,136.919998,50.29284,106.485346,20.312049,24.678659,18.93,47.93,58.139999,39.499241,35.884998,54.779999,51.07,24.469999,22.255891,64.300003,73.349998,64.140313,41.809537,53.549999,55.900002,29.863568,30.358454,77.12287,550.065849,551.166145,112.940002,140.25,62.5,22.860071,71.066204,408.630005,,,41.6045,38.904999,41.646506,49.504142,28.206392,47.472055,37.805253,32.281438,67.720001,33.661458,22.9,26.2552,44.009998,34.740002,54.46143,41.397291,70.403345,14.847608,46.0,133.059998,38.485201,52.064601,1143.23999,,68.17815,22.90186,270.73999,33.304786,89.599998,35.84698,3.66,115.82,51.431208,29.644598,17.263378,31.82,77.910004,68.876881,169.619995,39.897066,83.110001,75.974759,32.770114,63.310001,79.370003,54.834456,79.321419,49.301357,43.696303,45.249169,36.650002
2014-01-28,31.352011,68.88314,59.110001,45.18539,63.676444,51.240002,48.349998,133.009995,15.937582,114.520599,394.429993,16.231466,52.888342,64.899943,164.240005,305.649994,68.290001,29.890244,79.989998,54.900002,65.93,136.649994,51.116838,107.709528,20.08123,25.037416,20.129999,48.375,58.73,39.83648,36.055,55.400002,51.110001,24.870001,22.373737,65.059998,74.260002,65.600272,41.668794,55.139999,56.779999,29.980873,30.573555,78.892997,560.94502,562.067085,114.160004,144.529999,65.32,23.026528,71.474748,409.540009,,,42.386311,40.005001,41.889833,49.756716,28.459461,48.101146,37.761335,32.396694,68.949997,33.885682,23.049999,27.476586,44.700001,34.880001,58.110001,41.425706,72.182838,14.991666,46.689999,132.059998,38.861966,52.294771,1162.530029,,67.051162,23.071071,278.670013,33.056023,89.93,35.692405,3.63,115.18,45.645752,29.322586,17.572595,32.310001,77.769997,69.091939,178.380005,40.140342,84.25,77.118507,33.0996,63.860001,79.300003,54.471439,78.177411,50.258198,43.630495,45.574771,38.220001
2014-01-29,32.352607,68.101152,58.459999,44.96184,63.263123,49.650002,47.549999,133.729996,15.918552,113.068931,384.200012,16.445421,52.260098,64.162106,158.100006,305.459991,67.510002,29.568845,79.230003,54.049999,65.860001,138.240005,50.83898,105.684918,19.988902,24.669218,19.57,47.91,57.599998,40.04599,36.299999,55.490002,50.57,25.219999,21.965488,64.620003,73.709999,64.150113,41.687666,53.529999,56.209999,29.531207,30.045581,78.09106,552.908048,554.014045,113.980003,146.669998,65.239998,22.823081,71.182932,415.200012,,,41.303009,39.41,41.721378,49.785858,28.007371,47.288169,37.207958,31.685947,67.769997,34.250044,22.709999,27.247002,44.48,34.439999,57.202858,40.497555,71.245762,14.847608,47.259998,130.300003,38.613852,52.055396,1133.790039,,66.240853,22.631131,281.540009,33.002372,90.57,34.566902,3.59,115.5,47.532893,29.410408,18.213656,31.049999,76.669998,67.449685,175.229996,39.95189,82.550003,75.909135,33.224265,63.68,78.82,53.974681,78.95571,49.881262,43.555288,45.436637,34.889999
2014-01-30,33.157008,67.969232,59.389999,45.539348,63.899634,51.52,48.470001,162.0,15.966128,114.700874,403.01001,16.785805,53.207293,63.912836,160.809998,318.279999,69.550003,29.688224,76.989998,56.27,67.07,138.770004,51.921677,106.155759,20.293583,25.27344,19.805,49.299999,53.290001,41.04752,36.990002,56.48,51.060001,26.030001,22.382154,66.089996,74.660004,64.199101,41.763151,61.080002,56.779999,30.606492,31.306851,79.724272,567.128832,568.263252,115.059998,150.820007,66.449997,22.878566,72.165372,416.350006,,,41.405209,40.130001,41.796247,49.795571,28.624082,47.723693,37.778899,31.628317,68.669998,34.436897,23.450001,27.715353,45.549999,35.060001,57.810001,40.85745,71.917809,15.097309,47.849998,132.289993,39.179111,52.893217,1160.0,,68.234039,22.927241,292.970001,33.1487,92.290001,34.735972,3.6,117.470001,47.0456,29.820241,16.878742,30.73,77.790001,65.944286,182.839996,40.225143,85.970001,78.759127,33.153025,64.550003,82.150002,54.70071,81.525058,50.673794,43.978335,45.97931,35.310001
